Named Entity,bin 1,bin 2,bin 3,bin 4,bin 5,bin 6,bin 7,bin 8,bin 9,bin 10 ,bin 11
sydney,1,0,0,0,0,0,0,0,0,0,0
creepy ass,0,0,0,0,0,0,0,0,0,1,0
nicole,1,0,3,3,1,4,4,2,0,1,2
ravi shankar,0,0,0,0,2,0,0,0,0,4,0
kim carnes,1,0,0,0,0,0,0,0,0,0,0
amanda bynes,0,0,1,0,0,0,0,0,0,0,0
ben wright,0,0,1,0,0,0,0,0,0,0,0
ziggy,0,0,2,1,2,5,35,0,0,2,3
frank fun,0,0,0,0,0,0,0,1,0,0,0
kevin durant,0,1,0,0,0,0,0,0,0,0,0
mavis,0,0,0,0,0,0,0,0,0,61,4
rebecca,0,0,0,0,0,0,0,1,0,0,0
"whitney	whitney",0,0,0,0,0,0,0,0,0,0,0
riley,0,0,0,0,0,0,1,0,0,0,0
sir elton,0,0,2,0,0,0,0,0,0,6,5
skynyrd,0,0,1,0,0,0,0,0,0,0,0
santiago),0,0,0,0,0,0,0,0,0,0,1
chris brown,7,153,37,45,47,30,54,9,5,14,14
#grammys prince,0,0,0,0,0,0,0,0,1,1,0
is kimbra,0,0,0,0,0,0,0,0,5,0,0
ll cool j,7,3,1,10,2,2,2,2,5,7,57
@carrieunderwood,1,0,1,0,0,0,0,3,7,2,0
marcus unique,0,0,0,0,0,0,0,0,1,0,0
t bone burnett,0,0,0,0,0,0,0,0,0,1,0
trey songs,0,0,0,0,0,1,0,0,0,0,0
okey the grammys,0,0,0,0,0,0,0,0,0,1,0
#kelly clarkson,0,0,0,1,1,2,0,0,0,0,0
jameyjo,0,0,0,0,0,1,0,0,0,0,0
carlee,0,0,0,0,1,0,0,0,0,0,0
maroon 5/alicia keys,0,0,3,0,0,0,0,0,0,0,0
jenni rivera,0,0,1,0,0,0,0,0,0,17,0
dear homework,0,0,0,0,0,0,0,0,0,1,0
mitch,0,0,1,0,0,0,0,1,2,4,2
kristen,0,0,0,0,0,0,0,0,0,0,1
nominating mr . gelb,0,0,0,0,0,0,0,0,0,0,0
grammys flashdance,0,0,0,0,0,0,1,0,0,0,0
kim,5,5,1,1,5,2,0,2,48,6,1
notorious b.i.g.,0,0,0,0,0,0,0,0,0,1,0
arizona medley,0,0,0,0,0,0,0,0,0,0,1
adam fucking levineee,0,0,1,0,0,0,0,0,0,0,0
muse,0,0,0,0,1,0,0,1,1,0,0
la,367,327,226,345,254,232,111,119,135,253,132
"vma's,",0,0,0,1,0,0,0,0,0,0,0
#grammys,707,623,671,683,643,670,697,703,690,619,630
bonnie raitt,0,0,0,0,0,0,0,2,0,1,3
tamar braxton,0,0,0,1,0,0,0,0,0,0,0
#grammys mumford,0,0,0,0,0,0,0,0,0,0,1
krishna,0,0,0,0,0,0,0,0,0,0,1
curtis mayfield,0,0,0,0,0,0,1,0,0,0,0
jim johnson,0,0,0,0,0,0,0,0,0,1,0
santana,0,0,0,1,0,0,1,0,0,0,0
d.a,0,0,0,0,0,1,0,0,0,0,0
"johnny	@brunomars",0,0,0,0,0,0,0,0,0,0,0
betty white,0,0,0,0,0,0,0,0,0,1,0
pics,0,0,0,1,0,1,1,0,0,0,0
#grammys wiz,0,0,0,0,1,0,0,0,0,0,0
acms,0,0,0,0,1,0,0,0,0,0,0
dick rock,0,0,1,0,0,0,0,0,0,0,0
cora brown,0,0,0,0,0,0,0,0,0,1,0
avett bros,0,0,0,0,0,0,0,0,0,0,1
blake shelton,1,0,0,2,0,1,0,0,0,0,0
spike,0,0,0,0,0,0,0,0,0,1,0
kelly clarksons,0,0,0,4,5,1,1,0,0,0,0
bruins,0,1,1,1,0,1,0,0,0,0,0
rev run,0,0,1,0,0,0,0,0,0,0,0
"grammy's,",2,2,1,1,1,0,2,2,0,1,3
falcao,0,1,0,0,0,0,0,0,0,0,0
realize miguel,0,0,0,1,0,0,0,0,0,0,0
carrie underwood,7,3,2,5,12,4,5,97,227,12,6
taylor s,27,7,12,9,11,23,94,27,45,82,41
john williams,0,0,0,0,1,0,0,0,0,0,0
john obi miguel,0,0,0,0,1,0,0,0,0,0,0
erryone,0,0,0,0,0,0,1,0,0,0,0
cyrus,0,0,2,0,1,0,0,1,0,0,1
cwhite,0,0,0,1,0,0,0,0,0,0,0
bueno,1,0,0,0,1,0,0,0,0,0,2
young chris,1,0,0,0,0,0,0,0,0,0,0
harry neal,0,0,0,0,0,0,0,0,0,1,0
marvin gaye,0,1,0,0,1,1,0,0,0,0,0
grammys lord,0,0,0,0,1,0,0,0,0,0,0
toby mac,0,0,1,0,1,0,0,0,0,0,0
"jackson	jackson",0,0,0,0,0,0,0,0,0,0,0
ebt awards,0,0,1,1,0,0,0,0,0,0,0
tran mad,0,0,0,0,0,0,0,0,0,1,0
taylor swifts grammy,0,0,0,0,0,0,0,0,0,1,0
grohl,2,0,27,4,2,0,1,1,0,1,2
kelly won,0,0,2,1,0,1,0,0,0,0,0
congrats rihanna,0,0,0,0,0,1,0,0,0,0,0
billy ray cyrus,0,0,0,0,0,0,0,1,0,0,0
okk,0,0,0,0,1,0,0,0,1,1,0
lana del,0,0,0,0,0,0,0,1,0,1,1
jesse mccartney,0,0,0,1,0,0,0,0,0,0,0
jay z,37,12,3,1,35,3,4,1,2,1,1
llcoolj,13,9,9,6,10,3,4,0,3,4,5
-jon d'errico,0,0,0,0,0,0,0,0,0,1,0
endymion,0,0,0,1,0,0,0,0,0,0,0
kelly rolland,0,1,0,0,0,0,0,0,0,0,0
dr,31,59,63,71,110,55,70,78,181,57,62
tyler the creator,4,16,4,1,1,1,1,0,1,0,1
chick corea,0,0,0,0,0,0,0,0,0,4,0
has goatse,0,0,0,0,0,0,0,0,0,1,0
rip livestream,0,0,0,0,0,1,0,0,0,0,0
fort helicon,0,0,0,0,0,0,0,0,0,0,1
randy jackson,0,0,0,0,0,0,0,0,0,0,1
bo jackson,0,0,0,0,0,0,1,0,0,0,0
ryan,2,6,0,1,1,2,2,1,0,34,1
#drake,0,0,0,0,0,0,0,0,0,0,1
clarkson,0,1,56,245,100,123,11,13,9,20,7
church,0,9,0,2,4,3,0,1,0,3,0
leeloo,0,0,0,0,0,0,0,1,0,0,0
edward scissor,0,0,0,0,0,0,4,3,1,0,0
scott disick,0,0,0,0,0,1,0,0,0,0,0
gaga,1,1,0,1,5,0,1,1,3,4,0
warren sapp,0,1,0,0,0,0,0,0,0,0,0
jason,1,1,0,0,0,1,0,1,0,0,0
steve aoki,0,0,1,0,0,0,0,0,1,0,0
#NAME?,0,0,0,1,0,0,0,0,0,0,0
lolz tyler,0,1,0,0,0,0,0,0,0,0,0
robertson,0,0,0,0,1,0,0,0,0,1,0
og,13,15,25,24,19,14,19,9,7,18,15
tina knowles,0,0,0,0,1,0,0,0,0,0,0
atl,1,1,0,2,1,2,2,4,1,0,0
paul,0,1,6,3,2,0,2,2,2,4,1
bennett,0,0,0,0,0,0,0,0,1,1,1
swizz beatz,0,0,1,0,0,0,0,0,0,0,0
tate hipps,0,0,0,0,0,0,1,0,0,0,0
tweedy,0,0,0,0,0,0,0,0,0,1,0
ed sharon,0,0,1,0,0,0,0,0,0,0,2
coolio,0,0,0,0,1,0,0,0,1,0,0
mark,0,0,0,0,2,2,2,3,2,3,2
don cornelius,0,0,0,0,0,0,0,0,0,1,0
kelly !!!,0,0,0,0,0,0,0,0,0,0,0
skrillex,1,1,0,0,2,0,0,0,0,1,1
everyones,0,0,0,0,0,1,0,0,1,0,0
usa,0,1,1,2,2,2,1,1,2,0,1
the beatles,1,0,0,0,0,0,0,0,0,0,0
@lanadelrey,1,0,0,0,0,0,0,0,0,0,0
jones ravi shankar,0,0,0,0,0,0,0,0,0,1,0
brian &amp; stephane,0,0,0,0,0,0,0,0,0,1,0
chris hanson,0,1,0,0,0,0,0,0,0,0,0
romeo,0,0,0,0,0,0,1,0,0,0,0
carole king,0,0,0,0,3,7,0,0,0,0,0
elton john .,0,0,0,0,0,1,0,0,0,0,0
sting bruno mars,0,0,0,0,0,1,0,0,0,0,0
sheldon cooper,0,0,0,0,0,0,0,0,1,0,0
fernando ventura,0,0,0,0,0,0,0,1,0,0,0
congrats kelly c,0,0,0,3,0,0,0,0,0,0,0
taylor swift,26,6,11,9,11,23,93,27,44,80,40
andy williams,0,0,0,0,0,0,0,0,0,2,0
steve carrell/usher,0,0,0,0,0,0,0,0,0,1,0
travis barker,0,0,0,0,0,0,0,0,1,0,41
neil patrick harris,0,0,1,0,1,4,2,0,1,0,2
white,21,7,3,13,9,15,105,212,16,27,25
fontella bass,0,0,0,0,0,0,0,0,0,1,0
carls,0,0,0,2,0,0,0,0,0,0,1
on the grammys,10,11,12,9,12,8,15,12,11,21,21
estos,0,0,0,0,0,0,1,1,0,1,0
adam,5,4,215,32,14,7,3,9,1,7,5
santorum,0,0,0,0,0,0,0,0,0,0,1
al walser,0,0,0,0,0,0,1,0,0,0,0
zac efron,0,0,0,0,0,1,0,0,0,0,0
justin bieber,5,4,5,3,12,6,9,10,4,5,4
carmelo anthony,0,0,0,0,0,0,0,0,0,0,1
timberlake,287,173,31,15,17,20,12,3,16,38,12
wrong justin,1,0,0,0,0,0,0,0,0,0,0
michael telo,0,0,0,0,0,0,0,0,0,0,1
nos,2,2,2,0,3,1,6,0,2,7,1
